Term,Hits,NLP_Entity_Hits,NLP_Identifier_Hits
STK33,13,48,0
Mxi1,22,47,0
TNPO3,15,47,0
Smarcal1,16,47,0
ABCDE,30,47,0
CCL8,19,46,0
ITIH5,11,46,0
GPR158,42,46,0
ASTL,13,46,0
IRX3,30,45,0
pmel,13,45,0
ANXA4,21,44,0
DRC1,44,44,0
EFHD2,15,44,0
GLRX,74,44,0
FMN2,14,43,0
PRB2,26,43,0
NUCKS1,26,43,0
Bbx,39,43,0
EPSTI1,15,42,0
SBSN,13,42,0
plag1,19,41,0
TBX20,16,41,0
SACS,13,41,0
ALX4,18,40,0
FIZ1,12,40,0
HCP5,12,40,0
FILIP1L,11,40,0
BMPER,28,40,0
SCAPER,28,40,0
nos1ap,12,39,0
SEMA3C,17,39,0
TBR1,13,39,0
FKBP2,11,39,0
PCAT1,27,39,0
olfm1,13,38,0
ACAP2,11,38,0
MPZ,19,37,0
BMP3,11,37,0
AKIRIN1,15,37,0
Myrf,14,36,0
LRIG3,11,36,0
KLF16,13,35,0
MORC1,11,35,0
EFHD1,15,35,0
SKA3,26,35,0
5HT1,18,35,0
B4GALNT3,56,34,0
TBCK,15,34,0
PTOV1,11,34,0
LTK,13,34,0
aloe,18,34,0
FOXF1,38,33,0
PCDH19,16,33,0
TSPAN8,15,33,0
CDH19,17,33,0
MESP2,43,33,0
PACRG,36,33,0
PHF6,31,32,0
TBX4,17,32,0
BMP8B,15,32,0
FRAS1,14,32,0
ARVCF,15,32,0
GSDMB,14,32,0
SOX18,31,32,0
OTOP1,19,32,0
TRAK2,13,32,0
CEND1,35,32,0
SBDS,27,31,0
ONECUT2,14,31,0
FOXE1,17,31,0
SYNM,14,31,0
TESC,32,31,0
MCM9,11,31,0
spink1,21,30,0
tug1,13,30,0
PIN4,32,30,0
pca3,38,29,0
cd248,19,29,0
LYAR,52,29,0
DUSP22,12,29,0
DDRGK1,15,29,0
txnl1,14,29,0
TNFAIP6,91,29,0
PROM1,49,28,0
rap2a,15,28,0
NFKBIZ,24,28,0
SIX2,14,28,0
NPAT,11,28,0
CDH20,21,28,0
NAT6,20,28,0
SNCG,25,27,0
megf10,13,27,0
GPR85,15,27,0
APMAP,15,27,0
FAIM2,27,27,0
CEP120,22,27,0
RUNX1T1,67,27,0
HMCN1,26,26,0
ELK4,15,26,0
spic,15,26,0
CCBE1,16,26,0
hoxc11,19,26,0
NEUROD6,11,26,0
HTRA3,11,26,0
CCL15,16,26,0
DRP2,11,26,0
TEX19,13,26,0
CSMD1,24,25,0
ZMIZ1,49,25,0
SMCHD1,13,25,0
OVOL2,12,25,0
FSIP2,13,25,0
IGSF9B,37,25,0
AKAP14,11,25,0
TEX14,11,25,0
IGSF9,13,25,0
DRAM1,82,25,0
HMG20B,74,25,0
EHBP1,13,24,0
FASTK,11,24,0
HOOK3,14,24,0
TMC2,30,24,0
ANGPTL1,11,24,0
A4GALT,36,23,0
HEG1,20,23,0
ifi44,22,23,0
INIP,14,23,0
pomp,12,23,0
KLHL18,19,23,0
PIM3,15,22,0
Alx3,16,22,0
HEPACAM,12,22,0
glis1,13,22,0
KLF14,13,22,0
IFRD1,16,22,0
FRG2,11,22,0
oxr1,14,22,0
srpx,14,22,0
CGB1,37,22,0
atad5,14,22,0
TCTEX1D4,21,22,0
TMUB1,21,22,0
SRBD1,47,22,0
TNFAIP2,42,22,0
CTSS,101,22,0
CPEB4,62,21,0
EML4,17,21,0
PIEZO2,27,21,0
HMX1,14,21,0
PRDM2,14,21,0
zbtb20,14,21,0
FCGRT,15,21,0
PCLO,15,21,0
LHX5,11,21,0
FOXI3,12,21,0
zic2,14,21,0
ANP32E,17,21,0
RASL11B,13,21,0
gusa,14,21,0
cnga3,28,20,0
FOXN4,16,20,0
ZNF644,11,20,0
IFITM5,13,20,0
H6PD,29,20,0
PCP4,12,20,0
SAMD9,23,19,0
KLK10,20,19,0
atoh7,15,19,0
frem1,14,19,0
isx,16,19,0
POU3F3,19,19,0
CERKL,21,19,0
SERPINB5,26,19,0
PRAP1,11,19,0
PYY3,23,19,0
Prrx1,30,18,0
SPG11,21,18,0
PCDH15,53,18,0
MYCL,21,18,0
CIB2,21,18,0
ZFX,20,18,0
NETO2,11,18,0
TFPI2,13,18,0
PLAC1,21,18,0
MAP3K10,14,18,0
Hoxd9,13,18,0
CAPS2,24,18,0
CDNF,11,18,0
TBC1D22A,26,18,0
kegg,30,17,0
CAMTA1,60,17,0
PHACTR1,54,17,0
CEBPE,16,17,0
PHPT1,13,17,0
SOX8,14,17,0
FUBP3,17,17,0
FOXL1,11,17,0
MICAL2,11,17,0
SORCS2,13,17,0
FUBP1,56,16,0
SETBP1,84,16,0
GDF6,17,16,0
HOXB8,14,16,0
PDZD2,13,16,0
TESPA1,13,16,0
IFIT5,17,16,0
PHLDB1,13,16,0
PLXDC2,56,16,0
BACE2,11,16,0
AFAP1L1,18,16,0
KLHL10,26,16,0
KHDC1,12,16,0
MIR501,41,16,0
INVS,25,15,0
LYNX1,12,15,0
LSG1,11,15,0
SLF2,11,15,0
DPP10,37,15,0
PFN3,20,15,0
Pl15,42,14,0
OPA3,64,14,0
TCF15,13,14,0
lrrc32,14,14,0
FOXJ3,14,14,0
DYM,14,14,0
SPAG6,32,14,0
LRWD1,11,14,0
ADIG,12,14,0
CNTD1,14,14,0
DKKL1,12,14,0
PFN4,18,14,0
GLT8D2,21,14,0
TMC1,24,13,0
SAMD9L,19,13,0
GZMA,18,13,0
CELF4,17,13,0
BTBD10,17,13,0
TMEM106B,12,13,0
TFEC,13,13,0
MYO3A,43,13,0
CHD6,12,13,0
MXD1,12,13,0
CALB2,16,13,0
SERPINB9,33,13,0
SPAG16,11,13,0
FAM111A,16,13,0
ADARB2,54,13,0
CORO2A,11,13,0
PALMD,11,13,0
EIF1AY,23,13,0
OSR2,27,13,0
ZNF219,11,13,0
edil3,34,12,0
RBM20,52,12,0
SGCE,28,12,0
ARMS2,29,12,0
BARX1,19,12,0
FOXD1,17,12,0
TMEM18,11,12,0
HAVCR1,15,12,0
slamf8,14,12,0
MRAS,15,12,0
FOXE3,17,12,0
PHOX2A,50,12,0
MSMB,48,12,0
CASZ1,12,12,0
ARL4D,11,12,0
CIZ1,11,12,0
phlda2,11,12,0
GDAP1,15,12,0
RBMS3,32,12,0
ADAD1,11,12,0
FKBP15,36,12,0
CSTB,156,12,0
piezo1,33,11,0
EHF,22,11,0
SMARCAD1,14,11,0
ANKRD26,42,11,0
SOSTDC1,46,11,0
Neurod2,12,11,0
Tfcp2l1,14,11,0
KCTD20,15,11,0
IRAK1BP1,25,11,0
CHI3L2,12,11,0
YBEY,20,11,0
BPIFB3,11,11,0
SAMSN1,30,11,0
GIGYF2,14,10,0
Emx1,17,10,0
GRINA,83,10,0
Prrx2,11,10,0
NPTX2,13,10,0
tmem127,13,10,0
ATL2,12,10,0
CPA6,16,10,0
UFSP2,55,10,0
TTI2,12,10,0
TMEM135,15,10,0
FKBP11,37,10,0
DSCC1,11,10,0
srpx2,46,9,0
CMPK2,21,9,0
WDPCP,21,9,0
hydin,20,9,0
PRICKLE2,15,9,0
FKTN,22,9,0
VSX1,17,9,0
IPO7,15,9,0
FOXP4,16,9,0
BMP2K,13,9,0
ANKK1,17,9,0
CPA1,22,9,0
PGAP3,11,9,0
BRAC1,12,9,0
DIS3L2,12,9,0
GALM,12,9,0
dchs2,14,9,0
ATG2A,13,9,0
SLC4A11,14,9,0
insl6,27,9,0
MEGF8,11,9,0
ddx3y,13,9,0
TSPY1,40,9,0
FOXN2,41,9,0
SGCD,11,9,0
MIEN1,12,9,0
HoxC10,15,9,0
RALGPS1,18,9,0
CELF2,40,9,0
FJX1,12,9,0
IGSF11,22,9,0
DAOA,26,9,0
GPR26,29,9,0
MAP9,11,9,0
CAMSAP1,12,9,0
KNDC1,30,9,0
OGFR,43,9,0
FER1L4,30,9,0
mnx1,32,8,0
CNGB3,51,8,0
ZNF804A,20,8,0
TLE6,12,8,0
hoxd11,13,8,0
FASTKD2,14,8,0
pou2f3,11,8,0
CRIP1,12,8,0
DNAJB12,13,8,0
COX7A1,15,8,0
AJAP1,15,8,0
ILDR2,17,8,0
CADPS2,57,8,0
Ly75,11,8,0
HPS3,15,8,0
CRNN,16,8,0
HYAL4,11,8,0
PSRC1,11,8,0
PURG,14,8,0
SWAP70,11,8,0
NREP,12,8,0
PCDHA13,12,8,0
CDCA7,15,8,0
MRGPRD,26,8,0
CHRAC1,26,8,0
Fibin,29,8,0
SSH2,19,7,0
Sigmar1,23,7,0
TBX22,15,7,0
C12orf65,26,7,0
PTPRE,112,7,0
pkd1l1,14,7,0
Smoc2,15,7,0
AOAH,28,7,0
CAMK1D,15,7,0
CNPY2,15,7,0
LIMA1,16,7,0
OTOG,15,7,0
XPO4,15,7,0
CD5L,17,7,0
MCM3AP,11,7,0
ZPBP2,12,7,0
XIRP2,18,7,0
CLPTM1L,11,7,0
GIMAP4,11,7,0
synpo,12,7,0
FMN1,21,7,0
TICRR,14,7,0
PTPRM,31,7,0
ZPBP,37,7,0
PILRA,46,7,0
ABCC13,15,7,0
AVL9,11,6,5
ANXA3,30,6,0
TM4SF1,18,6,0
A2ML1,44,6,0
insuline,17,6,0
ALPK1,21,6,0
taok2,17,6,0
POU3F4,21,6,0
HOXA6,30,6,0
PM20D1,15,6,0
USP29,12,6,0
IFI44L,13,6,0
DDX60,33,6,0
FIBCD1,19,6,0
foxd4,11,6,0
cdkl1,13,6,0
anxa8,26,6,0
NOBOX,19,6,0
CGB2,38,6,0
PLCL1,43,6,0
PHACTR4,48,6,0
ANKRD13C,11,6,0
DNAI2,12,6,0
SVOP,13,6,0
CTNND2,25,6,0
LMOD2,12,6,0
RIPPLY2,12,6,0
RNASEH2A,12,6,0
FCRL1,12,6,0
KIAA0196,13,6,0
SNORD44,29,6,0
SPOCK2,23,5,0
DNTT,26,5,0
FUT2,38,5,0
MYO15A,26,5,0
ZIC4,14,5,0
VAX2,15,5,0
FGL1,23,5,0
PKHD1,16,5,0
ISL2,19,5,0
ETV3,11,5,0
RAP1GDS1,11,5,0
RNASEH1,12,5,0
NEUROD4,13,5,0
MAGEF1,13,5,0
BTBD9,14,5,0
FANK1,16,5,0
AGAP1,22,5,0
C12orf4,11,5,0
HMGN3,11,5,0
CPEB2,48,5,0
LRRC26,19,5,0
DFNA5,33,5,0
EXD1,23,5,0
SNORD123,13,5,0
IGIP,19,5,0
EMX2OS,27,5,0
CCDC170,62,5,0
neurophysin,14,5,0
CELSR2,30,4,0
RCBTB1,28,4,0
gal3st1,21,4,0
ANLN,23,4,0
PRPH2,27,4,0
SERPINF1,27,4,0
CCL14,23,4,0
oxsr1,19,4,0
celsr3,24,4,0
PLVAP,16,4,0
PTP4A3,16,4,0
ESPN,17,4,0
SCAMP2,18,4,0
Six5,14,4,0
ogfod1,15,4,0
CPA4,19,4,0
CAMK1G,13,4,0
NCAM2,13,4,0
DPP9,15,4,0
COX6A2,19,4,0
SEZ6L,51,4,0
LRIT3,11,4,0
STOML1,11,4,0
SH3TC2,12,4,0
DDX10,13,4,0
ILDR1,18,4,0
CKAP2,22,4,0
DUOXA2,11,4,0
GOLGA3,11,4,0
MAGEB16,11,4,0
NHLH1,11,4,0
DACH2,12,4,0
pacs2,13,4,0
PHF3,15,4,0
APOLD1,11,4,0
DPPA2,11,4,0
DUSP18,11,4,0
IRX2,11,4,0
LECT2,11,4,0
ANXA10,12,4,0
PCDHGA6,12,4,0
PCDH11Y,12,4,0
DGCR6,13,4,0
RNASEH2C,15,4,0
IFFO1,16,4,0
GRID1,37,4,0
SIDT1,46,4,0
C1QTNF6,11,4,0
CFDP1,13,4,0
PYY2,27,4,0
KCP,31,4,0
MZB1,42,4,0
FRMPD2,32,4,0
ABHD11,13,4,0
AFF2,28,3,1
USH2A,21,3,0
DCLK2,24,3,0
TOR2A,22,3,0
C1QTNF3,28,3,0
BNC2,16,3,0
HMX2,17,3,0
IGHMBP2,22,3,0
NPAS1,15,3,0
PLIN4,19,3,0
NOMO1,13,3,0
pdia2,14,3,0
PPP1R3A,12,3,0
SPATA5,12,3,0
cenpb,14,3,0
TNP1,15,3,0
ADAMDEC1,16,3,0
PRIMA1,11,3,0
CNDP1,12,3,0
EPB41L4A,12,3,0
ISM1,13,3,0
RBM19,13,3,0
STEAP4,13,3,0
MPZL2,14,3,0
DPP3,11,3,0
DIRAS1,11,3,0
EMC4,11,3,0
ATRN,12,3,0
FBXO36,12,3,0
LACTB,12,3,0
HSPB9,13,3,0
MCTS1,13,3,0
ACTL7B,14,3,0
FXYD5,11,3,0
POU6F1,13,3,0
NAA20,13,3,0
USB1,14,3,0
AFAP1L2,19,3,0
ZNF239,36,3,0
WDR13,22,3,0
LDLRAD3,24,3,0
GCNT2,44,3,0
CALHM1,11,3,0
ANKRD13A,11,3,0
RUSC2,13,3,0
DOC2A,14,3,0
AIFM3,16,3,0
MLIP,11,3,0
KLK15,12,3,0
MTX3,14,3,0
c10orf11,26,3,0
FAIM3,21,3,0
C10orf76,26,3,0
TRBJ2-7,31,3,0
FUCA1,59,3,0
5htr1,12,3,0
MIR135B,16,3,0
REG1P,20,3,0
1.2.7.1,12,2,209
GXYLT1,24,2,0
TENM1,21,2,0
DNASE1L3,20,2,0
SLC39A11,17,2,0
STK17B,16,2,0
cd276,17,2,0
JAZF1,17,2,0
NOP16,14,2,0
HABP2,15,2,0
GABRD,16,2,0
card14,17,2,0
EFR3A,17,2,0
METTL18,13,2,0
TSPAN6,13,2,0
SCRT1,13,2,0
FCGBP,14,2,0
RAX2,14,2,0
mex3b,15,2,0
TCFL5,15,2,0
KCNJ13,21,2,0
LOXHD1,30,2,0
TUT1,12,2,0
ENOSF1,13,2,0
DHX33,13,2,0
BARHL1,14,2,0
CORO7,16,2,0
ANKAR,17,2,0
FKBP10,18,2,0
AVIL,19,2,0
STK40,23,2,0
ATXN8OS,30,2,0
NPTX1,30,2,0
Nfkbil1,11,2,0
IQCG,12,2,0
TRIOBP,12,2,0
SELENON,12,2,0
zfhx4,12,2,0
NEXN,13,2,0
Csde1,15,2,0
PDZD7,15,2,0
DMRTA2,17,2,0
ABCF2,23,2,0
SFMBT2,39,2,0
CEP104,11,2,0
CWF19L1,11,2,0
SRFBP1,11,2,0
NAP1L3,12,2,0
gimap7,14,2,0
Gon4l,15,2,0
ATXN8,15,2,0
ICA1,15,2,0
TTC28,16,2,0
PAGE2,22,2,0
WDR11,24,2,0
GAGE1,36,2,0
COBLL1,44,2,0
DNAJB5,11,2,0
IFNE,11,2,0
PRCD,11,2,0
CCDC141,12,2,0
C2orf40,12,2,0
PRSS56,12,2,0
ZNF146,13,2,0
PCDHGA1,14,2,0
SEC14L2,14,2,0
CLYBL,15,2,0
RBM24,15,2,0
ADAM7,18,2,0
FRMD4A,30,2,0
DNAJB2,11,2,0
MYNN,11,2,0
TMEFF1,13,2,0
SERPINI1,14,2,0
GLDN,24,2,0
ANKRD30A,38,2,0
BEX4,41,2,0
CPVL,12,2,0
PCDHGA2,12,2,0
pdlim3,14,2,0
ARL9,15,2,0
CYP4X1,18,2,0
PRAC1,20,2,0
XRRA1,28,2,0
DNAH9,37,2,0
CDH22,48,2,0
AP3M2,12,2,0
UPK2,47,2,0
NEIL3,11,2,0
SCML4,12,2,0
ABTB1,17,2,0
SCPEP1,21,2,0
PHYHIPL,37,2,0
ATP5G3,155,2,0
ANKRD50,12,2,0
trnp1,27,2,0
PART1,28,2,0
AGAP5,12,2,0
CCSER2,32,2,0
MIR502,41,2,0
ULK4,36,1,3
PI15,112,1,0
photosynthesis,28,1,0
tmco1,25,1,0
CDHR1,26,1,0
LRBA,24,1,0
REG1A,40,1,0
TSHZ1,16,1,0
IMPG1,24,1,0
KLHL7,47,1,0
SERPINB7,39,1,0
DMXL2,16,1,0
ANGPTL6,20,1,0
RHBDF1,14,1,0
DIRAS2,15,1,0
MAGEC1,15,1,0
PDLIM1,19,1,0
ZNF365,34,1,0
YBX2,28,1,0
BHLHA15,50,1,0
ELMOD2,14,1,0
DNAI1,14,1,0
DHDH,14,1,0
PARP12,15,1,0
plekhh2,16,1,0
pdxdc1,17,1,0
RELT,18,1,0
GPR179,21,1,0
FOXRED1,20,1,0
VPS13A,64,1,0
PRDM8,12,1,0
GNB1L,13,1,0
NBPF3,13,1,0
CLIC5,14,1,0
MYLK3,14,1,0
NUSAP1,14,1,0
OTOGL,14,1,0
Zswim6,14,1,0
GZMK,17,1,0
tppp3,18,1,0
EPG5,18,1,0
CLMP,31,1,0
SPATA16,32,1,0
ARL5B,47,1,0
LRRC37A,11,1,0
RALGAPA1,11,1,0
SMPX,11,1,0
ZDHHC9,11,1,0
cmtr1,12,1,0
FRMPD1,12,1,0
IFNK,12,1,0
FEZF1,13,1,0
PNPLA1,13,1,0
MLLT11,14,1,0
EPPK1,14,1,0
GALK2,14,1,0
HPS6,16,1,0
KCNT1,17,1,0
STRC,19,1,0
BLID,11,1,0
CLEC11A,11,1,0
DNAH3,11,1,0
MMRN2,11,1,0
NRBP2,11,1,0
Scara3,11,1,0
CDKL2,12,1,0
LYPLAL1,12,1,0
ANKRD17,13,1,0
CUX2,13,1,0
NAA25,14,1,0
LMOD3,15,1,0
CLUH,16,1,0
EBF4,17,1,0
SERPINI2,16,1,0
jph2,19,1,0
EPHX3,21,1,0
RAPGEF6,25,1,0
SCAF1,24,1,0
LRFN5,36,1,0
TRHDE,37,1,0
FGGY,37,1,0
CLIC6,11,1,0
DDX25,11,1,0
FAM208A,11,1,0
FERD3L,11,1,0
DHRS4L2,11,1,0
GABRG1,11,1,0
HTATSF1,11,1,0
ZC3H13,11,1,0
BTBD7,12,1,0
tiprl,12,1,0
SHROOM2,12,1,0
GRIN3B,14,1,0
SCGB1D2,13,1,0
MAMDC2,14,1,0
CDKN2AIP,17,1,0
KCNQ1DN,22,1,0
HIST1H1T,22,1,0
PCDHAC1,33,1,0
ASTN2,47,1,0
CSNK1G1,51,1,0
GSDMC,50,1,0
ARPP21,11,1,0
GTPBP1,11,1,0
RETNLB,11,1,0
NDNF,12,1,0
FAM57B,13,1,0
hus1b,13,1,0
ELMOD3,14,1,0
DMRTA1,14,1,0
LCN8,16,1,0
NSUN5,17,1,0
Mkx,31,1,0
SAGE1,47,1,0
PPP1R14B,11,1,0
PCDHGA7,11,1,0
ADAM29,12,1,0
ZDHHC23,11,1,0
AMIGO2,12,1,0
SNED1,11,1,0
PARM1,12,1,0
PLCL2,13,1,0
ITM2C,16,1,0
CHIC1,19,1,0
DHRS11,23,1,0
AMZ2,24,1,0
GAS2L1,29,1,0
C2orf80,44,1,0
KLK9,12,1,0
UPK1A,23,1,0
BTG4,40,1,0
LRRC37A3,18,1,0
GPR64,18,1,0
PLA2G2C,22,1,0
SNX10,53,1,0
MTRNR2L6,14,1,0
ABCA17P,20,1,0
SRRD,31,1,0
KIAA1462,31,1,0
EFTUD1,32,1,0
C9orf142,35,1,0
SCFD2,40,1,0
TYRL,13,1,0
MIR193A,14,1,0
MIR485,16,1,0
MIR489,16,1,0
RD3L,16,1,0
ABCC6P1,19,1,0
DLEU7,25,1,0
DEFB122,27,1,0
SFTA2,30,1,0
C14orf37,31,1,0
CCDC3,32,1,0
SETP7,33,1,0
TTC9B,38,1,0
cholestrerol,17,1,0
P01266,15,0,3771
UniProt:Q13950,12,0,2566
P02686,13,0,1425
P14222,22,0,1297
Q06787,18,0,1219
A6NK06,11,0,1114
Q68DA7,11,0,1076
P04278,12,0,891
P48681,14,0,712
P05451,17,0,645
Q8NEY1,19,0,644
Q9Y6X0,13,0,611
P36955,13,0,606
P55008,13,0,581
95631,14,0,493
o75365,15,0,457
Q9UEW8,11,0,454
Q9HCD5,11,0,390
Q08648,13,0,374
P55000,16,0,365
P56915,12,0,363
P55316,15,0,334
P54821,15,0,301
O15178,12,0,285
Q99720,12,0,277
O95936,11,0,277
A5PKW4,11,0,272
P19484,13,0,271
Q92583,14,0,262
P41162,13,0,258
Q9UPI3,15,0,248
P35716,13,0,247
P55774,16,0,235
Q99698,17,0,228
40238,22,0,223
P28360,19,0,220
P20142,15,0,217
P09758,11,0,217
Q0GE19,13,0,213
P22079,11,0,209
O60902,11,0,208
p30046,13,0,207
o00522,12,0,204
P52823,13,0,203
P18583,19,0,199
Q04771,16,0,198
P78562,13,0,198
F7VJQ1,15,0,194
P05408,21,0,193
q92765,11,0,180
Q8WX93,11,0,179
O94761,13,0,176
Q03052,11,0,176
O43435,20,0,171
P81172,17,0,165
A1A4Y4,13,0,155
Q01995,11,0,153
Q96D42,12,0,151
O95238,12,0,148
Q96QS3,20,0,143
P08185,15,0,140
Q8NAU1,12,0,137
Q9Y283,11,0,136
P48742,22,0,125
Q8IXZ3,13,0,124
P53701,14,0,122
q9h4a4,18,0,121
P25189,12,0,119
Q969G9,12,0,118
P16442,13,0,118
O95206,11,0,116
p27816,12,0,112
Q9NYJ7,14,0,110
Q9UQF0,16,0,110
O60502,13,0,107
q92508,23,0,106
Q92954,11,0,105
o15075,15,0,103
Q8WUA8,13,0,100
P28698,11,0,99
Q16517,11,0,99
P80098,17,0,96
Q9UHR4,12,0,94
Q9Y5K2,18,0,93
O60356,11,0,90
P16860,29,0,89
Q8IUM7,14,0,88
Q7Z7C7,13,0,85
P31271,12,0,84
Q13286,13,0,83
Q14517,12,0,83
Q9Y5L0,18,0,81
Q86VP3,16,0,80
Q13702,12,0,80
Q03167,13,0,80
q8nfj5,12,0,79
Q9BSQ5,13,0,79
P43652,11,0,79
B0I1T2,16,0,73
O15537,11,0,73
Q96L92,18,0,72
P80075,14,0,71
O00198,12,0,71
Q16626,13,0,69
Q9H078,13,0,69
Q9H251,12,0,68
O15374,13,0,68
Q14190,14,0,67
P42658,12,0,66
Q8N0Z2,16,0,64
Q96HY6,13,0,64
P56177,14,0,63
P07199,12,0,63
P00995,12,0,62
Q9P2D1,18,0,61
Q8WWQ0,21,0,61
O75781,13,0,61
P12883,40,0,59
Q99592,13,0,59
Q05925,13,0,59
P42127,17,0,58
O14894,12,0,57
Q9BQL6,14,0,56
Q16586,12,0,56
Q9C0E2,16,0,55
Q9NX02,15,0,53
P23942,13,0,53
Q13641,13,0,53
P19622,13,0,53
Q99453,23,0,52
Q86V85,11,0,52
p35125,12,0,51
P50453,13,0,51
Q92876,12,0,51
O75112,16,0,50
P47972,12,0,50
Q9UH65,17,0,48
P54277,13,0,48
Q6UXI7,11,0,47
q96qp1,15,0,46
O43490,16,0,46
Q5TC82,11,0,46
P24666,11,0,45
Q16663,12,0,45
Q9Y653,15,0,42
Q9NZU7,12,0,41
Q14714,12,0,41
O15266,18,0,40
Q13075,12,0,39
q12980,11,0,38
O14647,13,0,38
p12544,12,0,38
O95057,19,0,37
Q99985,15,0,37
Q9UGT4,15,0,37
P34820,18,0,35
O95932,14,0,35
Q9BUP0,12,0,35
P49335,18,0,34
Q6UWI2,12,0,34
P04554,14,0,34
Q9UBC7,14,0,34
36951,16,0,34
Q27J81,11,0,34
O43240,12,0,34
Q0VG99,19,0,33
Q8TAB3,14,0,33
Q9Y623,11,0,33
Q9P1W3,19,0,32
Q9BY12,15,0,32
A6NNB3,12,0,32
P51854,16,0,31
P22003,12,0,31
P57082,12,0,31
B7ZBB8,17,0,30
Q5TCY1,14,0,29
Q4G0M1,12,0,29
Q9NPC8,14,0,28
Q8TEW8,17,0,28
